County Name ,State,Median Age ,PerCapita Income,Percent in Poverty,Population Density,Crime Index (Per capita)
Carver,MN,30.6,21583,4.6,145.3,207
Cass,MN,38.3,14343,20,11.3,570
Chippewa,MN,37.5,16864,13,22.5,134
Chisago,MN,32.2,16370,8.1,77.8,333
Clay,MN,28.9,15314,16.4,48.9,417
Clearwater,MN,36.5,12433,21.1,8.2,351
Cook,MN,38.3,18188,7,2.8,605
Cottonwood,MN,39.2,16041,12.7,19.5,146
Dakota,MN,30.2,22500,5.4,519.2,388
Dodge,MN,31.6,16440,8.8,36.9,257
Douglas,MN,35.2,15345,11.4,46.2,359
Faribault,MN,38.9,16994,12.9,23.3,246
Fillmore,MN,36.4,14948,12.5,24,69
Freeborn,MN,37.1,16425,11.9,46.1,295
Goodhue,MN,34.2,18514,6.9,54.3,356
Grant,MN,40.7,18464,13.4,11.3,277
Hennepin,MN,32.7,27177,11.7,1869.7,705
Houston,MN,34.2,16336,8.9,33.7,127
Hubbard,MN,37.7,13555,16.2,16.7,319
Isanti,MN,32,16017,9.6,60.8,213
Itasca,MN,35.9,14668,15.4,15.6,216
Jackson,MN,36.9,15459,11.8,16.5,222
Kanabec,MN,33.5,14356,14.6,24.8,299
Kandiyohi,MN,33,16535,14.4,49.7,386
Kittson,MN,38.6,21827,11.1,5.1,61
Koochiching,MN,35.6,14844,12.2,5.2,348
Lake,MN,39.2,15043,9.8,5,184
Lincoln,MN,41.4,14375,14,12.8,135
Lyon,MN,31.6,18266,10.6,34.6,236
McLeod,MN,32.9,17844,7.2,66.1,340
Marshall,MN,36.5,17321,12,6.1,152
Martin,MN,37,17911,11.7,32,351
Meeker,MN,34.9,15637,11,34.2,273
Morrison,MN,32.7,13244,14.4,26.5,250
Mower,MN,37.4,19022,11.1,52.4,359
Murray,MN,38.3,16680,11.9,13.8,116
Nicollet,MN,30.1,17141,8,63.2,271
Nobles,MN,35.8,17547,11.4,28.2,206
Norman,MN,39,17901,16.1,8.9,149
Olmsted,MN,31.6,21945,7.3,169.1,380
Pennington,MN,34.1,16337,13.5,21.7,421
Pine,MN,34.5,13481,15.4,15.5,509
Pipestone,MN,36,15886,11.8,22.5,76
Polk,MN,34.8,17245,16.9,16.5,284
Pope,MN,38.5,14917,13.2,16.1,194
Ramsey,MN,32,22776,13.4,3122,633
Redwood,MN,36.7,17475,10.3,19.5,287
Renville,MN,36.7,17629,15.1,17.8,183
Rice,MN,30.2,16297,9.3,101.5,395
Rock,MN,36.6,17654,9.6,20.3,147
Roseau,MN,30.6,16422,8.4,9.4,224
Scott,MN,30.2,19776,4.7,174.6,359
Sherburne,MN,28.6,15826,6.8,104.9,298
Sibley,MN,35.5,15567,10.8,24.5,93
Stearns,MN,27.9,15836,10.6,90.5,318
Steele,MN,32.7,18293,7.7,72.6,288
Stevens,MN,30.5,16418,11.5,18.7,173
Swift,MN,38,15457,13.6,14.1,175
Todd,MN,34.6,13039,16.4,24.8,243
Traverse,MN,41.3,21802,14.3,7.7,86
Wabasha,MN,34.2,17371,8.3,38.1,242
Wadena,MN,36,13086,18.3,24.1,297
Waseca,MN,33.2,16102,9.3,42.8,132
Washington,MN,31.5,21677,4.8,403.6,365
Watonwan,MN,35.7,16876,12.1,26.7,261
Wilkin,MN,34.4,17797,13.6,9.8,430
Winona,MN,30.2,17072,11,76.5,392
Wright,MN,30,16993,7.2,109.7,320
Adair,MO,27.4,14118,17.5,43.2,300
Andrew,MO,35.2,15373,11.9,34.2,151
Atchison,MO,38,17448,16.7,13.2,44
Audrain,MO,37,16055,14.7,34,167
Barry,MO,37.3,13758,16.9,36.8,21
Barton,MO,36.2,15074,15.1,19.4,181
Bates,MO,37.5,15124,18.1,17.8,268
Benton,MO,44.7,12181,19.2,20.3,226
Boone,MO,27.7,18137,14,170.6,536
Buchanan,MO,34.1,17000,17,203.3,540
Butler,MO,35.9,14723,24.3,56.8,371
Caldwell,MO,37.6,13581,17.1,19.8,66
Callaway,MO,32.6,15546,12.6,40,197
Camden,MO,41.7,15806,13.8,44,255
Carroll,MO,38.2,15891,16.8,15.4,45
Cass,MO,32.3,17182,9.2,96.4,204
Cedar,MO,42.4,13049,19.8,25.4,33
Chariton,MO,38.7,16042,14.6,11.8,63
Christian,MO,32.6,14940,11.1,64.3,117
Clark,MO,35.9,12890,17.3,15,15
Clay,MO,32.8,19725,7.6,399.7,668
Clinton,MO,35.1,16301,11.2,40.8,54
Cole,MO,32.8,18218,9.5,167.3,347
Cooper,MO,34.1,15283,13.8,26.7,266
Crawford,MO,35.6,13669,19,26.8,41
Dallas,MO,36.6,12177,20.5,24.4,80
Daviess,MO,38,13533,19.5,13.8,137
Dent,MO,37.3,13412,22.5,18.2,127
Douglas,MO,37,11153,23.2,14.5,19
Dunklin,MO,36.1,14575,28.2,60.5,234
Franklin,MO,32.2,16800,11.3,90.4,339
Gasconade,MO,37.6,15742,11.7,27.3,128
Gentry,MO,40.2,14088,14.6,13.8,15
Greene,MO,32.5,18419,15.9,318.8,586
Grundy,MO,39.7,14819,17.5,24.1,306
Harrison,MO,41.4,14803,18.8,11.6,54
Henry,MO,38.3,14961,17.4,29,301
Hickory,MO,50.3,11421,21.8,19.1,179
Holt,MO,38.5,16102,16,12.8,83
Howard,MO,34.9,15099,15.3,20.8,103
Howell,MO,36.4,13165,22.6,35.1,167
Iron,MO,37.1,12737,24.4,19.4,30
Jackson,MO,33.1,20157,17.5,1047.5,927
Jasper,MO,34.1,16615,16.6,143.8,551
Jefferson,MO,30.7,15485,9.3,270.6,351
Johnson,MO,26.2,13494,14.4,52.7,156
Laclede,MO,34.2,14088,17.4,36.2,165
Lafayette,MO,35.3,16778,13.8,49.6,97
Lawrence,MO,35.6,13429,16.3,50.1,86
Lewis,MO,34.1,14245,16.4,20.2,54
Linn,MO,39.4,15154,16.3,22.2,170
Livingston,MO,37,16538,15.8,27.3,58
McDonald,MO,34.1,12805,20.8,32.3,12
Macon,MO,38.5,15454,14.1,18.9,68
Maries,MO,36.6,12989,16.4,15.5,85
Marion,MO,34.7,15513,16.7,63.7,455
Mercer,MO,43.3,12194,17.4,8.1,65
Monroe,MO,36.1,16073,14.7,13.8,5
Montgomery,MO,37.1,16440,15.3,21.2,186
Morgan,MO,41.6,13714,18.9,26.8,249
Newton,MO,34.6,15043,15.4,72.9,200
Nodaway,MO,28.2,14527,15.7,24.4,164
Oregon,MO,40.2,12254,25.5,12,33
Osage,MO,32.5,16071,9.3,20,7
Ozark,MO,42,12186,23,11.8,107
Pemiscot,MO,32.6,13193,34.7,43.8,75
Perry,MO,34.4,15478,10.9,35.8,91
Pettis,MO,34.6,15652,15.5,52.1,365
Phelps,MO,31.9,14851,18.2,53.6,156
Pike,MO,36,14865,17,23.6,39
Platte,MO,32.7,21868,6.5,146.3,573
Polk,MO,33.3,13355,19.3,35.5,85
Pulaski,MO,26.8,12792,17.2,79.9,121
Ralls,MO,36.5,16900,12,18,17
Randolph,MO,34.4,15371,19.1,49.5,300
Ray,MO,34.1,14987,12.1,38.1,159
Reynolds,MO,36.8,11605,23.9,8.1,97
Ripley,MO,37.1,10957,30.4,20,6
Saline,MO,35.2,16380,16.5,30.3,219
Schuyler,MO,39.1,13035,16.8,13.6,114
Scotland,MO,38.6,15853,20,10.9,60
Scott,MO,33.1,15100,20.4,94.1,323
Shelby,MO,38.6,15905,16,13.8,90
Stoddard,MO,36.7,14827,19.7,35.1,53
Sullivan,MO,42.3,13118,19,9.7,60
Taney,MO,40.2,17081,12.7,43.6,339
Vernon,MO,35.6,15244,18.7,22.5,362
Warren,MO,33.6,15776,11.2,47.9,261
Washington,MO,31.6,11399,28.1,27.4,265
Wayne,MO,39.8,11157,27.5,15.9,110
Worth,MO,42.4,14135,20.9,9,88
Adams,MS,33.7,14250,29.2,75.4,334
Alcorn,MS,35.5,14240,18.9,81.5,60
Bolivar,MS,26.4,12489,40.1,47.6,17
Calhoun,MS,34.8,12929,22,25.4,3
Chickasaw,MS,31.4,13375,20.9,35.9,101
Choctaw,MS,32.7,10676,26.4,21.7,13
Clarke,MS,33.1,12515,21.1,25.2,77
Coahoma,MS,29,13860,42.2,56.8,163
Copiah,MS,30.3,11393,31.2,35.9,114
Covington,MS,31.2,11955,27.7,39.9,46
DeSoto,MS,31.5,16691,11.1,154.1,13
Forrest,MS,28.8,14188,24.6,149.3,565
Franklin,MS,33.6,11117,27.7,14.5,30
George,MS,30.9,11860,21.8,36,20
Grenada,MS,32.5,13665,23.3,51.9,515
Hancock,MS,34.5,13326,20.9,69.6,196
Harrison,MS,30.7,14567,20.2,291,469
Hinds,MS,30.8,17483,26.1,291.8,1102
Humphreys,MS,27.6,12763,41.9,28.5,61
Itawamba,MS,35.1,13383,13.9,37.8,99
Jackson,MS,31.7,15343,16.3,165.8,421
Jones,MS,33.6,14271,23.2,89.6,432
Lafayette,MS,25.8,13147,18.9,50.9,250
Lamar,MS,30.4,13763,19.5,62.5,20
Lauderdale,MS,32.1,15751,23.6,108.4,264
Leake,MS,33.7,12857,27.5,31.7,1
Lee,MS,31.9,16950,15.6,151.9,497
Leflore,MS,29.2,13921,37.6,63.3,542
Lowndes,MS,29.5,14796,21.7,119.5,226
Madison,MS,29.6,16012,22.4,80.8,285
Marshall,MS,30.1,11763,28.3,44.2,4
Monroe,MS,32.8,12787,19.3,48,137
Montgomery,MS,33.8,11876,28,30.2,61
Newton,MS,33.1,13360,21.6,35.8,37
Oktibbeha,MS,24.6,12431,26.1,83.2,476
Panola,MS,30,12059,29.6,45.4,81
Pike,MS,32.2,12489,30.8,90.5,286
Prentiss,MS,33.1,11885,18.8,56.6,112
Rankin,MS,32.7,16411,12.3,118.6,132
Scott,MS,31.6,14289,24.1,40.1,32
Sharkey,MS,26.7,11881,44.3,16.4,60
Simpson,MS,32.2,13375,23,40.9,66
Stone,MS,30.9,13016,24.9,24.9,53
Sunflower,MS,28.6,10998,45.9,52,20
Tippah,MS,33.4,12650,19.1,43.2,3
Tishomingo,MS,36.9,12424,16.7,42.4,18
Walthall,MS,31.3,10406,37.4,35.4,46
Warren,MS,32.4,16285,22.9,81.8,486
Washington,MS,29.1,13042,35.8,92.1,810
Wayne,MS,30.9,12057,29.2,24.1,139
Webster,MS,34.8,12302,22.4,24.1,41
Yalobusha,MS,34.8,13873,26.1,25.9,36
Beaverhead,MT,32.5,15539,16.8,1.6,190
Blaine,MT,31.6,11936,22.2,1.6,87
Broadwater,MT,36.4,14923,14.7,2.9,443
Carbon,MT,38.5,16686,15,4.1,237
Cascade,MT,32.7,17764,13.8,29.4,470
Chouteau,MT,36.8,17003,12.5,1.4,244
Custer,MT,35.5,16824,15.9,3.1,425
Daniels,MT,41.6,19080,9.3,1.5,10
Dawson,MT,35.5,16027,13.4,3.8,268
Fallon,MT,35.2,15841,10,1.9,124
Fergus,MT,38,15749,12.7,2.9,346
Flathead,MT,35.3,16952,14.8,12.3,570
Gallatin,MT,29.8,16701,12.8,21.5,152
Granite,MT,38.5,15177,17.1,1.4,288
Hill,MT,31.7,16145,19,6.1,459
Jefferson,MT,35.1,17705,9.2,5,29
Lake,MT,34.7,14431,20.6,14.8,217
Lincoln,MT,34.7,13626,16,4.9,352
McCone,MT,36,15328,12.3,0.8,24
Madison,MT,37.8,13760,13,1.7,215
Meagher,MT,37.7,17534,17,0.8,278
Mineral,MT,35.4,12100,18.2,2.8,665
Missoula,MT,31.6,17218,16,31.7,542
Musselshell,MT,39.8,14081,18.4,2.2,224
Park,MT,37,14441,14.5,5.6,429
Phillips,MT,34,14448,15.3,1,251
Pondera,MT,34.2,15561,18,3.9,171
Powell,MT,35.9,13884,15.7,2.9,206
Ravalli,MT,37.8,14373,15.5,11.5,209
Richland,MT,33,15710,15,5,243
Roosevelt,MT,29.8,12748,26.9,4.6,210
Rosebud,MT,29.4,16398,18.1,2.1,186
Sanders,MT,37,12824,18.6,3.2,152
Sheridan,MT,39.6,17944,11.1,2.7,253
Stillwater,MT,36.5,15730,10.6,3.8,128
Teton,MT,36.5,14923,13.6,2.7,40
Toole,MT,35.3,17453,13.4,2.6,240
Valley,MT,36.9,16691,16.2,1.7,278
Wheatland,MT,38.5,16929,16,1.6,231
Yellowstone,MT,33.5,18938,12.6,44.8,674
Alamance,NC,35.6,17689,10.3,258.2,437
Alleghany,NC,39.6,14415,14.3,41.3,101
Anson,NC,34.2,14521,20,44.2,368
Avery,NC,35,15702,17.2,60.3,222
Beaufort,NC,35.7,15035,19.1,52,565
Bertie,NC,33.4,13386,25.3,29.2,296
Bladen,NC,34.9,13604,23.2,33.1,400
Brunswick,NC,37.1,14409,16.1,63.4,165
Buncombe,NC,36.8,18487,13.1,275,470
Burke,NC,35.1,15743,11.5,152.6,348
Cabarrus,NC,34.6,17861,9.8,284.9,422
Caldwell,NC,34.6,15879,11.5,152.2,370
Carteret,NC,35.9,15530,13.8,103.1,502
Caswell,NC,35.8,13697,16,48.6,274
Catawba,NC,34.3,19410,9.5,303.3,523
Chatham,NC,36.1,18882,10.9,59.1,390
Cherokee,NC,39.3,12188,18.5,44.8,265
Chowan,NC,36.4,14786,19.1,80,457
Cleveland,NC,34.7,15790,13.3,187.2,472
Columbus,NC,34.3,14360,23.7,53.6,444
Craven,NC,30.2,16046,16.4,120.5,557
Cumberland,NC,27.3,15970,15.5,424.4,847
Currituck,NC,34.3,15390,12.2,56.2,274
Dare,NC,35.2,16932,8.8,61.8,797
Davidson,NC,34.5,16639,11.6,235.1,460
Davie,NC,36.3,20340,8.8,107.1,304
Duplin,NC,34.3,15878,20,49.6,381
Durham,NC,31.7,20810,13.5,648,951
Edgecombe,NC,32.6,14734,23.1,111.5,711
Forsyth,NC,33.9,22580,12.2,660.2,810
Franklin,NC,33.7,14133,16.8,77.5,324
Gaston,NC,33.5,16819,13.2,499.9,601
Granville,NC,34.1,14548,13.6,73.6,519
Greene,NC,33.5,15451,18,59.2,264
Guilford,NC,33.4,21612,11.9,550.2,757
Halifax,NC,33.6,13902,26.4,77.2,552
Harnett,NC,31.3,13928,17.8,118.5,581
Haywood,NC,39.9,15686,13.9,87,329
Henderson,NC,40.7,18547,11.9,192.6,310
Hertford,NC,33.6,12691,25.2,63.6,376
Hoke,NC,29.6,11560,19.8,61.3,592
Iredell,NC,34.8,17345,10.2,168.5,179
Jackson,NC,33,13968,18.3,56.3,228
Johnston,NC,34.3,16677,15.5,108.8,532
Lee,NC,34.2,18493,14.7,167.1,717
Lenoir,NC,34.7,16653,20.7,144.8,673
Lincoln,NC,33.9,16290,9.2,176.4,338
McDowell,NC,35.7,13996,11.5,82,328
Macon,NC,42.7,14745,15,47.2,120
Madison,NC,36.8,13693,18.6,38.5,15
Martin,NC,34.7,15280,16.1,54.7,579
Mecklenburg,NC,32,23543,12.7,1016.3,1094
Mitchell,NC,39,13954,15,65,10
Montgomery,NC,33.7,14265,17.5,47.6,401
Moore,NC,38.6,20534,11.7,88.6,385
Nash,NC,33.8,17277,15.7,148.8,630
Northampton,NC,36.3,13464,24.5,38.6,232
Onslow,NC,24.6,12596,16.4,188.4,488
Orange,NC,28.9,21197,10.4,248.6,710
Pamlico,NC,38.3,14500,19,34.4,251
Pasquotank,NC,32.2,14761,19.7,143.2,329
Pender,NC,35.9,14563,16.9,35.6,305
Perquimans,NC,37.6,13789,21.2,42.5,276
Person,NC,34.8,15892,14,78.8,319
Pitt,NC,29.5,16766,22,172.7,813
Polk,NC,43.3,21395,9.4,63.1,194
Randolph,NC,34.3,16342,8.9,140.3,335
Richmond,NC,34,13860,17.9,94.9,497
Robeson,NC,30.3,13048,24.5,113.5,438
Rockingham,NC,35.5,16015,13.3,153.4,417
Rowan,NC,35.2,16082,11.7,222.3,451
Rutherford,NC,35.6,14932,13.9,103,330
Sampson,NC,34.7,17105,19.4,51.4,404
Scotland,NC,31.5,14188,20.3,107.5,559
Stanly,NC,34.8,15534,11,133.9,424
Stokes,NC,34.3,15598,10.8,85.6,255
Surry,NC,36.3,16623,12.3,117.6,291
Swain,NC,35.3,11415,24,21.8,99
Transylvania,NC,38,16996,13.3,68.7,227
Union,NC,32,17072,10.8,139.8,477
Vance,NC,33,15039,20.5,156.6,874
Wake,NC,31.4,23069,9.3,549.9,562
Warren,NC,37.1,11390,24.5,40.8,243
Washington,NC,34,15328,21,40.8,409
Watauga,NC,27.8,14068,16,122.2,290
Wayne,NC,31.8,14439,17.5,194.2,561
Wilkes,NC,35.2,15691,13.9,79.2,245
Wilson,NC,33.8,17529,19.5,179.7,856
Yadkin,NC,36.6,16084,11.3,93.6,229
Adams,ND,39.3,17226,11.4,3,90
Barnes,ND,36.6,16530,14,8.2,181
Bottineau,ND,37.9,18011,12.6,4.6,143
Bowman,ND,37.2,19262,10.5,2.9,194
Burleigh,ND,32,18761,9.9,38.2,389
Cass,ND,30,19168,9.4,60.4,411
Cavalier,ND,38.9,19626,10.5,3.8,177
Dickey,ND,37.4,16951,15.4,5.2,85
Divide,ND,43.9,18245,10.2,2.1,67
Dunn,ND,35.1,13124,14.2,1.9,31
Eddy,ND,40.5,15773,11.2,4.6,159
Emmons,ND,40.4,15487,13.1,3,87
Foster,ND,37.6,18324,11.3,6,32
Grant,ND,39.9,13451,18.8,2,21
Griggs,ND,41,17253,12.4,4.5,50
Hettinger,ND,40.5,16993,14.2,2.8,13
Kidder,ND,38.6,14018,15.8,2.4,128
Logan,ND,42.4,17044,13.7,2.7,182
McHenry,ND,39.3,14342,15.5,3.4,114
McIntosh,ND,48.7,17843,13.2,3.9,63
McKenzie,ND,33,16443,17.1,2.2,130
McLean,ND,37.3,17465,12.5,4.7,98
Mercer,ND,32.4,19072,7.7,9.1,197
Morton,ND,33.1,15493,11.9,12.2,426
Mountrail,ND,35.9,17465,16.5,3.7,78
Pembina,ND,36.7,21502,10.5,8,106
Pierce,ND,40.2,18863,12.9,4.7,252
Ramsey,ND,35.1,17949,13.7,10.5,359
Ransom,ND,38.6,16084,10.3,6.8,71
Renville,ND,37.2,18317,8.5,3.4,227
Richland,ND,32.4,15357,12.1,12.5,57
Rolette,ND,26.7,11923,33.8,14.5,66
Sargent,ND,37.6,20108,8.6,5.1,112
Stark,ND,31.7,15053,13.4,17,245
Stutsman,ND,35,16998,12.4,9.8,237
Towner,ND,38,19670,12.7,3.3,15
Traill,ND,35.7,17667,12.4,10,92
Walsh,ND,36.1,18900,13.1,10.4,305
Ward,ND,29.3,16679,12,28.6,367
Wells,ND,42.1,18655,12.8,4.4,123
Williams,ND,33.4,16604,13.4,10,273
Adams,NE,34.3,18788,10,52.5,365
Antelope,NE,35.5,16595,13.9,9.1,86
Boone,NE,36.2,19413,11.3,9.6,45
Boyd,NE,41.1,15679,13.7,5.2,47
Brown,NE,39,16479,13.5,3,208
Buffalo,NE,28.6,16770,11.1,39.7,426
Burt,NE,38.8,16415,13.3,16,135
Butler,NE,37,18249,8.9,14.9,168
Cass,NE,33.4,18111,8.5,39.5,275
Cedar,NE,34.5,15449,9.9,13.6,71
Chase,NE,36.8,19659,11.1,4.8,128
Cherry,NE,36.1,14653,15.4,1.1,103
Cheyenne,NE,35.9,19237,10.8,7.9,283
Clay,NE,37.3,18824,10.7,12.6,132
Colfax,NE,35.3,17689,10.2,22.7,254
Cuming,NE,36.8,20412,8.7,17.5,119
Custer,NE,39.1,18973,13.7,4.8,161
Dakota,NE,31.2,15562,11.4,65.2,314
Dawes,NE,30.6,14369,18.2,6.4,455
Dawson,NE,36.1,17593,11.9,21.4,522
Deuel,NE,38.9,18647,7.6,5,91
Dixon,NE,36.9,16977,10.5,13,98
Dodge,NE,35.5,17781,10.2,64.7,363
Douglas,NE,31.8,22446,12.3,1286.7,435
Dundy,NE,39,21828,8.9,2.7,176
Fillmore,NE,38.3,24100,9,12.1,99
Franklin,NE,42.6,17645,11.1,6.8,110
Frontier,NE,37.3,15029,10.1,3.2,300
Furnas,NE,42.4,18469,10.4,7.9,175
Gage,NE,37.2,18099,11.5,26.7,301
Garden,NE,41.9,18222,12.5,1.3,265
Gosper,NE,40.7,19261,6.2,4.4,281
Greeley,NE,36.6,16342,12.6,5.3,7
Hall,NE,33.2,17873,11.4,91,655
Hamilton,NE,35.2,18969,8.1,16.6,193
Harlan,NE,41.1,18589,12,6.7,278
Hitchcock,NE,37.5,16929,11.5,5.1,44
Holt,NE,34.4,17763,13,5.2,87
Howard,NE,37.2,14689,10.6,10.9,158
Jefferson,NE,39.9,18965,10.8,15,183
Johnson,NE,40.5,17103,9.1,12.2,100
Kearney,NE,35.7,19662,7.8,12.8,256
Keith,NE,36.6,15862,9.9,7.9,410
Kimball,NE,38.2,19083,10.1,4.2,353
Knox,NE,40.6,15972,14.9,8.6,62
Lancaster,NE,30.7,19483,9,262.4,751
Lincoln,NE,34.6,17379,12,12.9,550
Madison,NE,32.2,17293,10.4,57.8,367
Merrick,NE,36.2,15604,8.9,16.7,244
Morrill,NE,37.4,19454,14.6,3.7,164
Nance,NE,36.3,17655,11.8,9.7,98
Nemaha,NE,35.1,17650,11.3,19.3,91
Nuckolls,NE,40.3,17845,11.7,9.7,43
Otoe,NE,38.2,17557,10,23.4,193
Pawnee,NE,44.1,19491,12.3,7.4,109
Perkins,NE,37.7,20474,8.7,3.6,109
Phelps,NE,36,20617,8.5,18.1,215
Pierce,NE,35.4,16388,10,13.6,114
Platte,NE,32.1,18335,8.8,44.4,327
Polk,NE,39.4,20835,6.9,12.5,189
Richardson,NE,39.7,17582,13.6,17.9,126
Saline,NE,35.7,17891,8.1,22.1,199
Sarpy,NE,28.6,16723,4.8,445,269
Saunders,NE,35.1,16526,8.2,24.5,199
Seward,NE,33.1,18373,7.8,27.3,208
Sheridan,NE,38.1,15639,17.1,2.7,324
Sherman,NE,38.6,15990,12.7,6.5,168
Stanton,NE,31.6,16255,10.6,14.4,118
Thayer,NE,41.8,20227,11.8,11.5,170
Thurston,NE,29.9,12547,23.9,17.8,27
Valley,NE,39.7,17543,11.3,8.8,220
Washington,NE,34.8,19841,6,43.5,159
Wayne,NE,28.6,15414,10.2,21.4,157
Webster,NE,43.8,19654,11.4,7.3,190
York,NE,34.8,19617,8.3,25.2,237
Belknap,NH,35,20126,8.5,122.4,363
Carroll,NH,36.9,22291,11.6,38.8,294
Cheshire,NH,33.4,19810,8.7,99.6,242
Coos,NH,36.3,18218,11.7,19.1,177
Grafton,NH,32.2,21748,10.8,44.3,291
Hillsborough,NH,32.2,22684,8.7,388,329
Merrimack,NH,33.5,22294,8.2,128.4,263
Rockingham,NH,32.6,23296,6.4,353.4,244
Strafford,NH,30.5,18620,9.6,280.9,312
Sullivan,NH,35.3,19379,11.2,71.3,259
Atlantic,NJ,34,24178,12.7,408.8,983
Bergen,NJ,37.6,33763,5.7,3561.5,318
Burlington,NJ,33,23582,6.4,489.4,322
Camden,NJ,32.8,21701,13.9,2277.6,624
Cumberland,NJ,33.3,18860,15.8,284.3,656
Essex,NJ,33.4,26413,19.3,6114,952
Gloucester,NJ,32.5,19871,7.6,727.3,399
Hudson,NJ,33.1,21180,18.2,11845.8,712
Hunterdon,NJ,35.2,30078,3.2,259.7,157
Mercer,NJ,34.1,28333,9.3,1448.2,562
Middlesex,NJ,33.4,25130,7.1,2198,433
Monmouth,NJ,35,27251,7.5,1201.1,374
Morris,NJ,35.3,33375,4,910.7,257
Ocean,NJ,38.5,22265,7.6,696.2,373
Passaic,NJ,33.4,21824,13.3,2464.3,537
Salem,NJ,35.1,20939,11,193,339
Somerset,NJ,34.8,35536,4,820.5,336
Sussex,NJ,32.9,22586,4.6,258.3,206
Union,NJ,35.8,27812,9.5,4774.4,545
Warren,NJ,34.4,21587,6.4,261.5,205
Bernalillo,NM,32.2,18684,18,428,785
Colfax,NM,35.5,15060,18.4,3.5,372
Curry,NM,29,14249,20.1,32.5,30
Eddy,NM,33.4,15108,19.7,12.3,174
Grant,NM,33.2,12701,22.6,7.2,540
Lea,NM,30.2,14230,23.2,12.9,641
Lincoln,NM,37.1,16578,20.3,2.7,526
Luna,NM,36.7,11823,34.3,6.7,524
McKinley,NM,25.4,9624,38.7,11.9,432
Otero,NM,29,13740,18.3,7.8,338
Quay,NM,37,14378,27.7,3.7,565
Roosevelt,NM,28.8,14162,27.4,7.1,387
Sandoval,NM,30.8,14378,14.8,18.5,189
Sierra,NM,51,13363,23.1,2.4,784
Socorro,NM,30,11607,31.2,2.3,456
Taos,NM,33.9,12172,26.6,10.9,361
Union,NM,37,15837,19.8,1,200
Valencia,NM,31.5,13924,21,45.2,459
Churchill,NV,33,16760,9.4,3.8,210
Clark,NV,33.1,21136,12.4,106.4,645
Elko,NV,29.4,19495,7.1,2.2,135
Humboldt,NV,30.6,19552,8.9,1.5,437
Lincoln,NV,33.4,19409,11.7,0.4,195
Mineral,NV,33.9,18849,12,1.7,302
Pershing,NV,31.7,16713,11.5,0.7,330
Washoe,NV,33.6,25635,10.3,42.3,672
Albany,NY,33.9,23528,11.3,558.6,534
Allegany,NY,31.1,13417,18.4,49.7,267
Broome,NY,34.1,19155,12.4,300.3,328
Cattaraugus,NY,33.2,15252,16,65.3,306
Cayuga,NY,33.1,16098,13.6,119.4,287
Chautauqua,NY,34.3,16025,17.1,133.7,376
Chemung,NY,34.2,17248,13.9,233.2,426
Chenango,NY,33.9,15722,14.5,58.5,255
Clinton,NY,29.9,15497,14.3,82.4,245
Columbia,NY,36.5,18599,11.7,99.6,297
Cortland,NY,30.3,15672,14,98.9,429
Delaware,NY,35.6,14777,15.1,32.8,226
Dutchess,NY,33.4,22518,8,327.6,340
Erie,NY,34.7,19716,15.4,930.1,586
Essex,NY,35,16693,15,20.8,245
Franklin,NY,32.8,13989,17.5,29.7,218
Fulton,NY,35.2,16327,14.1,109.6,381
Genesee,NY,33.3,17553,9.5,123.3,292
Greene,NY,35.5,16281,12.8,71.6,304
Herkimer,NY,35.3,15153,13.6,47,191
Jefferson,NY,29.2,15513,14.9,89.4,250
Kings,NY,32.3,19009,31.6,32360.3,2792
Lewis,NY,31.5,14125,13.9,21.4,109
Livingston,NY,31.2,16841,10.5,101.2,279
Madison,NY,31,17078,11.3,108.4,248
Monroe,NY,33,22766,11.8,1099,619
Montgomery,NY,36.6,16933,13.1,128.7,191
Nassau,NY,36.6,32189,6,4520.6,312
Niagara,NY,34.6,18045,12.6,422.9,448
Oneida,NY,33.8,17302,14.2,208.1,363
Onondaga,NY,32.8,20137,12.2,607.3,451
Ontario,NY,34.1,19637,9.3,151.6,261
Orange,NY,31.9,19530,11.7,386.6,330
Orleans,NY,32.5,15347,11.9,111.7,303
Oswego,NY,30.5,16777,13.5,130.5,293
Otsego,NY,33.1,16225,13.5,61,206
Putnam,NY,33.7,24514,4.5,375.8,193
Rensselaer,NY,32.8,18797,11.9,239,365
Rockland,NY,34.1,26381,8.9,1549.4,266
Saratoga,NY,32.8,20179,7.6,231.4,274
Schenectady,NY,35.6,21765,9.8,729.7,440
Schoharie,NY,33.5,15116,13.3,52.9,209
Schuyler,NY,34.7,13896,13.2,57.5,264
Seneca,NY,34.7,17072,10.9,103.1,213
Steuben,NY,34.4,17401,14.8,71.9,338
Suffolk,NY,33.5,23776,7.5,1465,443
Sullivan,NY,34.8,18725,15.9,72.8,411
Tioga,NY,33,16878,10.9,102.6,224
Tompkins,NY,27.2,16235,13.6,200.6,493
Ulster,NY,34.4,19453,11.1,149.8,303
Warren,NY,34.4,19350,10.9,69.6,476
Washington,NY,33,14676,11.9,72.3,223
Wayne,NY,32.9,18188,10,151.1,327
Westchester,NY,36.2,35123,8.8,2038.1,378
Wyoming,NY,32.4,14253,11.7,73.5,270
Yates,NY,34.8,14712,15.4,68.6,208
Adams,OH,32.9,11918,23.2,45.2,0
Allen,OH,33,17325,13.7,271.7,412
Ashland,OH,33.3,15617,10.2,114.5,191
