County Name ,State,Median Age ,PerCapita Income,Percent in Poverty,Population Density,Crime Index (Per capita)
Franklin,GA,35.9,16263,17,65.3,252
Fulton,GA,32,28465,23,1257,1354
Gilmer,GA,35.4,14779,17.3,33.5,7
Glascock,GA,37,15212,16.1,16,27
Glynn,GA,34.1,19001,17.2,151,862
Gordon,GA,32.4,15699,12.5,102.2,331
Grady,GA,32.9,12936,24.9,45,448
Greene,GA,32.5,14059,23.8,31.4,262
Gwinnett,GA,30.5,21670,5.8,903,477
Habersham,GA,33.3,16107,12.3,102.8,164
Hall,GA,32.3,17885,14.2,253.5,456
Hancock,GA,31,12272,28.8,19,149
Haralson,GA,33.5,14632,17.5,79.4,326
Harris,GA,35.6,17105,12.9,39.2,251
Hart,GA,35.7,15264,15.7,87,40
Henry,GA,31.9,16942,7.4,209.5,271
Houston,GA,31,16375,12.6,247.6,539
Irwin,GA,33.3,13801,25.1,24.1,410
Jackson,GA,33,14970,15.9,91.7,333
Jasper,GA,33.8,14962,18.3,23.5,107
Jeff Davis,GA,31.8,14191,19.6,36.3,462
Jefferson,GA,31.4,13775,27.7,33.2,90
Jenkins,GA,32.6,12502,25.2,24.3,366
Johnson,GA,32.7,12452,24.5,27.3,27
Jones,GA,32.2,16620,12.6,54.1,130
Lamar,GA,33.4,13034,17.8,73.1,245
Lanier,GA,31.6,14000,24.6,30.5,255
Laurens,GA,33,15378,21.4,50.5,586
Liberty,GA,24,10420,19,110.6,354
Lowndes,GA,28.9,15455,22.4,154.7,719
Lumpkin,GA,30.3,15051,14.7,54.1,185
McDuffie,GA,32,15110,20.7,80.4,120
Macon,GA,31.2,13986,30.2,32.2,179
Madison,GA,32.8,14508,16.3,77.7,6
Marion,GA,32.1,12658,24.1,15.5,56
Meriwether,GA,31.8,11869,23.6,45.1,276
Miller,GA,34.7,14944,24,22.3,62
Mitchell,GA,30.7,13683,30.7,40,464
Monroe,GA,33,14815,15.8,45.2,278
Morgan,GA,32.8,15841,17.3,38,344
Murray,GA,30.4,13615,12.1,80.4,284
Muscogee,GA,30.6,16740,22.2,859.9,620
Newton,GA,31.1,14955,15.8,161.7,599
Oglethorpe,GA,33.5,14094,16.5,23.1,196
Paulding,GA,29.8,13925,9,150.8,277
Peach,GA,30,16049,25.2,144.9,251
Pickens,GA,34.4,16530,13.8,64.6,93
Pierce,GA,33.3,14439,21.1,39.7,224
Pike,GA,33.5,14928,13.3,48.1,134
Polk,GA,33.8,13612,18.4,110.2,404
Pulaski,GA,35.3,17087,21.5,32.7,400
Putnam,GA,34.2,15325,16.9,43.3,167
Rabun,GA,39.8,13923,15,32.1,182
Randolph,GA,32.1,13060,34.9,18.9,96
Richmond,GA,30.3,17331,21.9,623,715
Rockdale,GA,32.1,18460,8.8,450.7,425
Screven,GA,33,14521,22.3,21.3,254
Seminole,GA,33.6,13826,27.6,38.2,372
Spalding,GA,32.1,15108,18.6,283.8,814
Stephens,GA,34.8,14916,16.8,133.9,181
Sumter,GA,30.4,15141,26,63.5,546
